registrant_name,crypto_filings,clients,reported_amount_ranking_signal
INVARIANT LLC,129,18,8630000
FS VECTOR LLC,102,19,3545000
"AVOQ, LLC",99,14,5970000
"MINDSET ADVOCACY, LLC",99,15,5080000
STERNHELL GROUP,76,7,4780000
"MEHLMAN CONSULTING, INC.",73,8,4020000
"FRANKLIN SQUARE GROUP, LLC",64,7,3250000
RICH FEUER ANDERSON,61,6,3385000
"MILLER STRATEGIES, LLC",59,10,5590000
DIROMA ECK & CO. LLP,58,7,2150000
"CGCN GROUP, LLC",56,9,2839000
"FEDERAL HALL POLICY ADVISORS, LLC",55,5,2345000
GOLDSTEIN POLICY SOLUTIONS LLC,50,4,2080000
"BLUE RIDGE LAW & POLICY, P.C.",48,5,1940000
TIGER HILL PARTNERS LLC,43,5,1430000
OGR,41,5,1990000
FORBES-TATE,37,7,1900000
BGR GOVERNMENT AFFAIRS,37,10,1930000
TIBER CREEK GROUP,37,5,1660000
"PORTERFIELD, FETTIG & SEARS, LLC",37,5,2010000
SQUIRE PATTON BOGGS,36,7,2450000
"PHRONESISDC, LLC",34,7,1700000
HOLLAND & KNIGHT LLP,33,4,1790000
"CROSSROADS STRATEGIES, LLC",31,7,1860000
GEOFFREY P. GRAY,31,3,660000
TROUTMAN STATEGIES,26,4,960000
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",26,8,1400000
CAPITOL COUNSEL LLC,26,4,840000
GRAYROBINSON PA,25,4,636500
DELTA STRATEGY GROUP,24,2,1090000
"CONAWAY GRAVES GROUP, LLC",24,4,950000
SIDLEY AUSTIN LLP,24,2,630000
"CAPITOL TAX PARTNERS, LLP",23,3,1700000
AKIN GUMP STRAUSS HAUER & FELD,22,4,1160000
"T CAP SOLUTIONS, LLC",22,3,770000
COZEN O'CONNOR PUBLIC STRATEGIES,22,2,1970000
MICHAEL BEST STRATEGIES LLC,21,2,2310000
"SOBBA PUBLIC, LLC",21,2,780000
"CORNERSTONE GOVERNMENT AFFAIRS, INC.",21,3,1450000
THORN RUN PARTNERS,20,7,680000
ACG ANALYTICS,20,2,600000
"1607 STRATEGIES, LLC",19,2,801000
"BRANSTAD CHURCHILL GROUP, LLC",18,2,120000
VANTAGEKNIGHT LLC,17,1,1530000
S-3 GROUP,17,1,1330000
VAN SCOYOC ASSOCIATES,17,1,920000
"THE JOSEPH GROUP, LLC",17,1,140000
"PAYPAL, INC.",17,1,7011311
"FORIS DAX, INC. & ITS AFFILIATED ENTITIES D/B/A CRYPTO.COM",17,1,5990000
RULON & WHITE GOVERNANCE STRATEGIES,17,3,
VISA INC.,17,1,39280000
"WHITMER & WORRALL, LLC",16,1,670000
MORGAN STANLEY & CO. LLC,16,1,15550000
"CME GROUP, INC.",16,1,6370000
CREDIT UNION NATIONAL ASSOCIATION. INC. DBA AMERICA'S CREDIT UNIONS,16,1,19089068
BAKER & HOSTETLER LLP,16,4,1010000
"NASDAQ, INC.",15,1,8645000
"JGB & ASSOCIATES, LLC",15,2,
POLSINELLI PC,15,1,830000
CAPITOL ASSET STRATEGIES,15,5,247500
